intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Bay,ds003082,n/a,,FALSE,,,No,1,23,13.2 GB,62,1,2,healthy,"acq, .cfg, .cls, .eeg, .hc, .hist, .infods, .jpg, .meg4, .mrk, .newds, .pos, .res4, .segments, .ds","MEG, MRI","EEG, EOG, ECG, Misc, Trigger",,X,,X,X,,,,,,,,X,,,,,,"Misc, Trigger",3,other,273,1,,,2,26,,2,1,continious,auditory,Auditory,Brain Mapping/ Identifying spectrotemporal receptive fields,Neuroimaging,"mapping, noise",https://www.sciencedirect.com/science/article/pii/S1053811921004997,1.2.0,"Montreal, Quebec",Canada,N,N,2020-11-30 21:41:33,Jonathan Cote,,doi:10.18112/openneuro.ds003082.v1.0.1,,CC0,TRUE,"This work was funded in part by grants from the Natural Sciences and Engineering Research Council of Canada (NSERC), the Centre for Research on Brain, Language and Music (CRBLM), and the Reseau quebecois de recherche sur le vieillissement (RQRV).",,
Bay,ds004015,n/a,,TRUE,,,No,36,18 - 33 ,0.006 TB,305,1,0,healthy,".fdt, .set",EEG,speech envelope tracking,X,,,,,,,,,,,,,,,,,,speech envelope tracking,18,other,,,,,,,,,,continious,auditory,Auditory,attention ,Attention,AttendedSpeakerParadigmcEEGridAttention,,v5.2,Oldenburg,Germany,Y,N,2022-03-30 9:29:01,Björn Holtze,,doi:10.18112/openneuro.ds004015.v1.0.2,https://doi.org/10.3389/fnins.2022.869426,CC0,TRUE,"This work was funded by the Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) under Germany’s Excellence Strategy (EXC 2177/1, Project ID 390895286), and the German Federal Ministry of Education and Research (BMBF, 16SV7784). BM was funded by the DFG (Project ID 432063183).","The studies involving human participants were reviewed and approved by Kommission für Forschungsfolgenabschätzung und Ethik, University of Oldenburg, Oldenburg, Germany. The patients/participants provided their written informed consent to participate in this study.",Yes
Bay,ds004017,n/a,,FALSE,,,No,21,n/a (6-8),0.022 TB,382,3,0,healthy children,".eeg, .vhdr, .vmrk",EEG,behavioral ,X,,,,,X,,,,,,,,,,,,,,64,10-20,,,,,,,,,1,continious,Motor/Visual,Motor,learning ,Learning,visual search task,,1.2.0,Copenhagen,Denmark,Y,Y,2023-03-17 15:10:54,Marta Topor,,doi:10.18112/openneuro.ds004017.v1.0.3,https://github.com/MovementAndNeuroscience/B-D\_EEG\_Child,CC0,FALSE,Independent Research Fund Denmark (#8018-00132B),"The study was approved by the local Ethical Committee at the University of Copenhagen, Denmark(protocol: H-17019671& 70061)",
Bay,ds004018,n/a,,TRUE,,,No,16,18 - 38,0.011 TB,350,1,2,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continous,Visual,Visual,representational dynamics,Learning,rsvp,,1.0.0 + bep006,New South Wales,Australia,Y,N,2022-02-09 7:00:37,Tijl Grootswagers,,doi:10.18112/openneuro.ds004018.v2.0.0,https://doi.org/10.1016/j.neuroimage.2018.12.046 ===NEMAR-SEP=== https://osf.io/a7knv/,CC0,TRUE,Australian Research Council Future Fellowship (FT120100816) and an Australian Research Council Discovery project (DP160101300) awarded to T.A.C,The study was approved by the University of Sydney ethics committee and informed consent was obtained from all participants.,
Bay,ds004019,n/a,,TRUE,,,No,62,,0.019 TB,441,1,0,obese and non-obese preteens,.set,EEG,Psychometric test ,X,,,,,,,,,,,,,,,,,,Psychometric test ,129,other,,,,,,,,,4,continous,Visual,Visual,Arthitmatic ,Decision-making,Math task,,1,Arkansas,United States,Y,N,2022-02-09 22:18:37,Graciela Catalina Alatorre Cruz,,doi:10.18112/openneuro.ds004019.v1.0.0,https://doi.org/10.3389/fnhum.2022.760234,CC0,FALSE,This research was supported by USDA/Agricultural Research Service Project 6026-51000-012-06S,The study protocol was approved by the University of Arkansas for Medical Sciences Institutional Review Board with written informed consent obtained from parents and assent from preteens.,
Bay,ds004022,n/a,,TRUE,,,No,7,48 - 83 ,0.001 TB,89,1,3,humans with orthopedic Impairment,".fdt, .mat, .set",EEG,fNIRS,X,,,,,,,,,,,,,,,X,,,,18,10-20,,,,,,,,,,continious,Visual/motor imagery,Visual,BCI ,Motor,Motor Imagery,https://www.researchgate.net/publication/373770081_Multimodal_EEG_and_fNIRS_Biosignal_Acquisition_during_Motor_Imagery_Tasks_in_Patients_with_Orthopedic_Impairment,1.0.2,Seoul,South Korea,Y,Y,2022-02-15 4:52:06,????[ ??? / ???? ],,doi:10.18112/openneuro.ds004022.v1.0.0,,CC0,TRUE,,,
Bay,ds004024,Dataset is too large to compute NEMAR data quality measures.,,FALSE,,,No,13,,1.1 TB,3141,4,12,healthy,".bval, .bvec, .eeg, .vhdr, .vmrk","EEG, MRI","TMS, DWI",X,,,X,,,,,,,,X,,,,,,,DWI,64,10-20,,1,,2,2,,,,,continious,TMS,Stimulation,plasticity ,Learning,"ccPAS, spTMS, rest, Rest",,1.6.0,Illinois,United States,Y,N,2022-02-15 2:13:14,Tommi Raij,,doi:10.18112/openneuro.ds004024.v1.0.1,NCT03723434,CC0,TRUE,Dr. Ralph and Marian Falk Medical Research Trust,STU00204239,
Bay,ds004033,n/a,,TRUE,,,No,18,20 - 28 ,0.021 TB,293,2,2,,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,3,continous,Motor,Motor,synchronized walking ,Motor,mixed,,v2.0,Oldenburg,Germany,Y,N,2022-04-14 17:41:56,Joanna Scanlon,,doi:10.18112/openneuro.ds004033.v1.0.0,article link follows:,CC0,TRUE,,,
Bay,ds004040,n/a,,TRUE,,,No,13,,0.012 TB,160,2,0,healthy,.set,EEG,"ECG,  GSR, respiration",X,,,,,,,,,,,,X,,,,,,"GSR, respiration",64,10-20,,2,,,,,,,64,continous,auditory,Auditory,channeling ,Other,trance,,1.1.1,California,United States ,Y,Y,2022-02-24 3:20:20,Arnaud Delorme,,doi:10.18112/openneuro.ds004040.v1.0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6384530.2/,CC0,FALSE,This work was supported by FUNDAÇÃO BIAL (grant number No. 72/16). This work was also supported by the Ray Benton Foundation and the Federico and Elvia Faggin Foundation.,The study was approved through the Institute of Noetic Sciences Institutional Review Board (IRB Protocol Number WAHH_2014_01). The grant protocol submitted to the BIAL Foundation No 72/16 represents the pre-registration of the measures and analyses included in this manuscript.,
Bay,ds004043,n/a,,TRUE,,,No,20,,0.017 TB,84,1,0,healthy ," .eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continous,visual,Visual,"attention, decision, memory, and expectation",Attention,Temporal expectation,,1.0.2,Sydney,Australia,Y,Y,2022-02-25 3:17:40,Tijl Grootswagers,,doi:10.18112/openneuro.ds004043.v1.1.0,https://doi.org/10.17605/OSF.IO/5B8K6 ===NEMAR-SEP=== https://doi.org/10.1101/2021.05.24.445376,CC0,TRUE,"ARC DP170101840 (ANR,AW)
ARC DP160101300 (TAC)
ARC DP200101787 (TAC)
ARC DE200101159 (AKR)
MRC intramural funding SUAG/052/G101400 (AW)",The study was approved by the University of Sydney ethics committee and informed consent was obtained from all participants.,
Bay,ds004067,n/a,,FALSE,,,No,80,,0.108 TB,257,1,2,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral ,X,,,,,X,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continous,visual,Visual,attitude/Moral conviction,Affect,Sociopolitical Judgment Task,,1.0.2,Illinois,United States,Y,N,2022-03-13 21:32:33,Keith Yoder,,doi:10.18112/openneuro.ds004067.v1.0.1,https://doi.org/10.1016/j.cortex.2022.03.008 ===NEMAR-SEP=== https://osf.io/32das/,CC0,TRUE,Seed grant from Grossman Center for Quantitative Biology and Human Behavior (JD),"All participants provided informed written consent, and all procedures were approved by the Institutional Review Board at the University of Chicago",
Bay,ds004078,n/a,,FALSE,,,No,12,n/a (23-30),0.678 TB,5406,1,86,healthy,".bval, .bvec, .fif","MEG, MRI","fMRI, behavioral ",,X,,X,,X,X,,,,,,,,,,,,,,other,306,,,,,,,9,,continious,audio,Auditory,language processing ,Learning,"Chinese-RDR, rest",,1.6.0,Beijing,China,Y,N,2022-04-11 13:09:08,Xiaohan Zhang,,doi:10.18112/openneuro.ds004078.v1.2.1,,CC0,TRUE,,The study was conducted under the approval of the Institutional Review Board of Peking University.,
Bay,ds004105,n/a,,TRUE,,,Yes,17,,0.022 TB,245,1,2,healthy ,.set,EEG,"SMI, behavioral ",X,,,,,X,,,,X,,,,,,,,,,64,10-20,,,,,4,,,,6,continious,visual/audio,Multisensory,driving fatigue performance,Attention,DriveRandomSound,,1.7.0,Maryland,United States,Y,Y,2022-05-05 13:49:31,Kay Robbins,,doi:10.18112/openneuro.ds004105.v1.0.0,"Garcia, J.O., Brooks, J., Kerick, S., Johnson, T., Mullen, T.R., Vettel, J.M., 2017. Estimating direction in brain-behavior interactions: Proactive and reactive brain states in driving. NeuroImage 150, 239-249. https://doi.org/10.1016/j.neuroimage.2017.02.057. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002., This study was conducted in accordance with IRB requirements (32 CFR 219 and DoDI 3216.02).,
Bay,ds004106,n/a,,FALSE,,,Yes,27,n/a (20 to 57),0.073 TB,260,1,2,healthy,.set,EEG,"SMI, behavioral ",X,,,,,X,,,,X,,,,,,,,,,256,10-20,,,,,4,,,,2,continious,visual,Visual,vigilance (advanced),Attention,GuardDuty,,1.7.0,Maryland,United States,N,N,2022-04-29 20:29:26,Kay Robbins,,doi:10.18112/openneuro.ds004106.v1.0.0,"Touryan, J., Lance, B.J., Kerick, S.E., Ries, A.J., McDowell, K., 2016. Common EEG features for behavioral estimation in disparate, real-world tasks. Biol. Psychol. 114, 93–107 https://doi.org/10.1016/j.biopsycho.2015.12.009 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002.,"The voluntary, fully informed consent of the persons used in this research was obtained as required by Title 32, Part 219 of the Code of Federal Regulations and Army Regulation 70–25. The investigator has adhered to the policies for the protection of human subjects as prescribed in AR 70–25",
Bay,ds004107,n/a,,FALSE,,,No,8,,0.083 TB,397,2,0,healthy,.fif,MEG,"EOG, trigger",,X,,Y,X,,,,,,,,,,,,,,,,other,306,,,,2,,,9,,continious,Electrical,Stimulation,electrical nerve stimulation to test if tools are consistent across sites ,Neuroimaging,"noise, auditory, index, median, rest, visual",https://www.sciencedirect.com/science/article/abs/pii/S0531513107000623,1.6.0,New Mexico,United States,Y,Y,2022-04-22 19:51:09,Alexandre Gramfort,,doi:10.18112/openneuro.ds004107.v1.0.0,https://doi.org/10.1016/j.ics.2006.12.095,CC0,TRUE,"This work was supported by U.S. DOE Award Number DE-FG02-99ER62764 to The MIND Institute
NIBIB grant R01-EB002010
by The Center for Functional Neuromaging Technologies (NIH grant P41-RR14075)
and by Los Alamos National Security
LLC
for the NNSA of the U.S. DOE under contract DE-AC52-06NA25396.",Internal Review Board approval for the study was obtained at each of the sites.,Yes
Bay,ds004117,n/a,,TRUE,,,Yes,23,19-40,0.006 TB,601,1,6,healthy,".fdt, .set",EEG,EOG,X,,,,X,,,,,,,,,,,,,,,69,10-20,,,,,2,,,,,continious,visual,Visual,memory,Memory,WorkingMemory,,1.7.0,California,United States,N,N,2022-06-16 23:23:02,Kay Robbins,,doi:10.18112/openneuro.ds004117.v1.0.1,"Onton, J., Delorme, A., and Makeig, S. (2005). Frontal midline EEG dynamics during working memory. Neuroimage 27, 241-356. https://doi.org/10.1016/j.neuroimage.2005.04.014.",CC0,TRUE,National Institutes of Health NS047293 Swartz Foundation,,
Bay,ds004118,n/a,,FALSE,,,Yes,156,,0.134 TB,2294,7,1,healthy,.set,EEG,"EOG, SMI, behavioral ",X,,,,X,X,,,,X,,,,,,,,,,64,10-20,,,,,4,,,,6,continious,visual,Visual,calibration for fatigue study,Attention,Drive,,1.7.0,Maryland,United States,N,N,2022-05-04 22:58:22,Kay Robbins,,doi:10.18112/openneuro.ds004118.v1.0.1,"Touryan, J., Apker, G., Lance, B.J., Kerick, S.E., Ries, A.J., McDowell, K., 2014. Estimating endogenous changes in task performance from EEG. Front. Neurosci. 8, https://doi.org/10.3389/fnins.2014.00155. ===NEMAR-SEP=== Brooks, J., Kerick, S., 2015. Event-related alpha perturbations related to the scaling of steering wheel corrections. Physiol. Behav. 149, 287?293, https://doi.org/10.1016/j.physbeh.2015.05.026. ===NEMAR-SEP=== Brooks, J.R., Kerick, S.E., McDowell, K., 2015. Novel measure of driver and vehicle interaction demonstrates transient changes related to alerting. J. Mot. Behav. J. Mot. Behav. 47, 47, 106, 106?116, https://doi.org/10.1080/00222895.2014.959887, 10.1080/00222895.2014.959887. ===NEMAR-SEP=== Garcia, J.O., Brooks, J., Kerick, S., Johnson, T., Mullen, T.R., Vettel, J.M., 2017. Estimating direction in brain-behavior interactions: Proactive and reactive brain states in driving. NeuroImage 150, 239?249, https://doi.org/10.1016/j.neuroimage.2017.02.057. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054.",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002.,"The voluntary, fully informed consent of the persons used in this research was obtained as required by Title 32, Part 219 of the Code of Federal Regulations and Army Regulation 70-25.",
Bay,ds004119,n/a,,FALSE,,,Yes,21,,0.059 TB,201,1,2,healthy,.set,EEG,"EOG, SMI, behavioral ",X,,,,X,X,,,,X,,,,,,,,,,256,10-20,,,,,4,,,,2,continious,visual,Visual,vigilance (basic),Attention,GuardDuty,,1.7.0,Maryland,United States,N,N,2022-05-04 22:57:53,Kay Robbins,,doi:10.18112/openneuro.ds004119.v1.0.0,"Touryan, J., Lance, B.J., Kerick, S.E., Ries, A.J., McDowell, K., 2016. Common EEG features for behavioral estimation in disparate, real-world tasks. Biol. Psychol. 114, 93–107 https://doi.org/10.1016/j.biopsycho.2015.12.009 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002.,"The voluntary, fully informed consent of the persons used in this research was obtained as required by Title 32, Part 219 of the Code of Federal Regulations and Army Regulation 70-25.",
Bay,ds004120,n/a,,FALSE,,,Yes,109,,0.325 TB,1266,3,2,healthy,.set,EEG,"EOG, SMI, behavioral ",X,,,,X,X,,,,X,,,,,,,,,,64,10-20,,,,,4,,,,6,continious,visual/audio,Multisensory,driving baseline performance,Attention,DriveWithSpeedChange,,1.7.0,Maryland,United States,Y,Y,2022-05-04 22:57:30,Kay Robbins,,doi:10.18112/openneuro.ds004120.v1.0.0,"Touryan, J., Apker, G., Lance, B.J., Kerick, S.E., Ries, A.J., McDowell, K., 2014. Estimating endogenous changes in task performance from EEG. Front. Neurosci. 8. https://doi.org/10.3389/fnins.2014.00155. ===NEMAR-SEP=== Brooks, J., Kerick, S., 2015. Event-related alpha perturbations related to the scaling of steering wheel corrections. Physiol. Behav. 149, 287-293. https://doi.org/10.1016/j.physbeh.2015.05.026. ===NEMAR-SEP=== Brooks, J.R., Kerick, S.E., McDowell, K., 2015. Novel measure of driver and vehicle interaction demonstrates transient changes related to alerting. J. Mot. Behav. J. Mot. Behav. 47, 47, 106, 106?116. https://doi.org/10.1080/00222895.2014.959887, 10.1080/00222895.2014.959887. ===NEMAR-SEP=== Garcia, J.O., Brooks, J., Kerick, S., Johnson, T., Mullen, T.R., Vettel, J.M., 2017. Estimating direction in brain-behavior interactions: Proactive and reactive brain states in driving. NeuroImage 150, 239?249. https://doi.org/10.1016/j.neuroimage.2017.02.057. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054.",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002.,"The voluntary, fully informed consent of the persons used in this research was obtained as required by Title 32, Part 219 of the Code of Federal Regulations and Army Regulation 70-25.",
Bay,ds004121,n/a,,TRUE,,,Yes,21,,0.026 TB,391,1,3,healthy,.set,EEG,"EOG, SMI, behavioral ",X,,,,X,X,,,,X,,,,,,,,,,64,10-20,,,,,4,,,,6,continious,visual/audio,Multisensory,"vigilance, driving (mind wandering) ",Attention,DriveWithTaskAudio,,1.7.0,Maryland,United States,N,N,2022-05-04 22:55:48,Kay Robbins,,doi:10.18112/openneuro.ds004121.v1.0.0,"Touryan, J., Apker, G., Lance, B.J., Kerick, S.E., Ries, A.J., McDowell, K., 2014. Estimating endogenous changes in task performance from EEG. Front. Neurosci. 8, https://doi.org/10.3389/fnins.2014.00155. ===NEMAR-SEP=== Brooks, J., Kerick, S., 2015. Event-related alpha perturbations related to the scaling of steering wheel corrections. Physiol. Behav. 149, 287?293,https://doi.org/10.1016/j.physbeh.2015.05.026. ===NEMAR-SEP=== Brooks, J.R., Kerick, S.E., McDowell, K., 2015. Novel measure of driver and vehicle interaction demonstrates transient changes related to alerting. J. Mot. Behav. J. Mot. Behav. 47, 47, 106, 106?116, https://doi.org/10.1080/00222895.2014.959887, 10.1080/00222895.2014.959887. ===NEMAR-SEP=== Garcia, J.O., Brooks, J., Kerick, S., Johnson, T., Mullen, T.R., Vettel, J.M., 2017. Estimating direction in brain-behavior interactions: Proactive and reactive brain states in driving. NeuroImage 150, 239?249, https://doi.org/10.1016/j.neuroimage.2017.02.057. ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis I: Spectral and amplitude characteristics across studies, NeuroImage, p. 116361, https://doi.org/10.1016/j.neuroimage.2019.116361 ===NEMAR-SEP=== Bigdely-Shamlo, N., Touryan, J., Ojeda, A., Kothe, C., Mullen, T., Robbins, K., 2019. Automated EEG mega-analysis II: Cognitive aspects of event related features, NeuroImage, p. 116054, https://doi.org/10.1016/j.neuroimage.2019.116054",CC0,FALSE,This research was sponsored by the Army Research Laboratory and was accomplished under Cooperative Agreement Number W911NF-10-0-0002.,"The voluntary, fully informed consent of the persons used in this research was obtained as required by Title 32, Part 219 of the Code of Federal Regulations and Army Regulation 70-25.",
